run_id,subject,exercise,restimulus,rerepetition,n_samples,first_source_row,last_source_row,duration_seconds,segment_type,peak_abs_amplitude
2848,13,3,0,0,2769,1680666,1683434,27.69,rest,4.668
2828,13,3,0,0,1215,1671518,1672732,12.15,rest,4.6655
1484,11,3,0,0,984,857983,858966,9.84,rest,4.6655
6798,18,3,0,0,1489,3980618,3982106,14.89,rest,4.6655
1077,11,2,0,0,309,673795,674103,3.09,rest,4.6631
19214,6,3,0,0,354,11158836,11159189,3.54,rest,4.6631
2788,13,3,0,0,3106,1651664,1654769,31.06,rest,4.6631
7940,19,3,0,0,1247,4606114,4607360,12.47,rest,4.6631
5494,16,3,0,0,1515,3183974,3185488,15.15,rest,4.6606
19210,6,3,0,0,288,11157164,11157451,2.88,rest,4.6606
8786,1,3,0,0,307,5105356,5105662,3.07,rest,4.6582
10406,21,3,0,0,6743,6051031,6057773,67.43,rest,4.6558
8792,1,3,0,0,377,5107765,5108141,3.77,rest,4.6558
8782,1,3,0,0,2304,5101687,5103990,23.04,rest,4.6558
6376,17,3,0,0,5154,3691539,3696692,51.54,rest,4.6509
13594,25,3,0,0,5591,7915649,7921239,55.91,rest,4.646
14398,26,3,0,0,296,8385106,8385401,2.96,rest,4.6387
12812,24,3,0,0,5077,7457130,7462206,50.77,rest,4.6387
12792,24,3,0,0,4875,7444402,7449276,48.75,rest,4.6362
2928,13,3,0,0,1530,1719033,1720562,15.3,rest,4.6094
2768,13,3,0,0,1548,1642281,1643828,15.48,rest,4.5825
8762,1,3,0,0,2519,5091258,5093776,25.19,rest,4.5776
20032,7,3,0,0,284,11634780,11635063,2.84,rest,4.5313
18406,5,3,0,0,3515,10702291,10705805,35.15,rest,4.5215
15230,27,3,0,0,344,8866639,8866982,3.44,rest,4.4482
7219,19,2,0,0,343,4284329,4284671,3.43,rest,4.4165
7960,19,3,0,0,5041,4615322,4620362,50.41,rest,4.3042
8694,1,3,0,0,485,5058336,5058820,4.85,rest,4.231
4752,15,3,0,0,6009,2746721,2752729,60.09,rest,4.1943
21274,9,3,0,0,2355,12375007,12377361,23.55,rest,4.1113
8650,1,3,0,0,585,5036408,5036992,5.85,rest,4.0796
13574,25,3,0,0,6653,7901066,7907718,66.53,rest,4.0747
2908,13,3,0,0,2871,1708452,1711322,28.71,rest,4.0601
803,11,2,0,0,434,558827,559260,4.34,rest,4.0527
19212,6,3,0,0,410,11157997,11158406,4.1,rest,4.0527
5402,16,3,0,0,303,3141892,3142194,3.03,rest,4.0527
19220,6,3,0,0,329,11161337,11161665,3.29,rest,3.9795
21614,9,3,0,0,2117,12532865,12534981,21.17,rest,3.9771
15200,27,3,0,0,599,8850975,8851573,5.99,rest,3.9575
8702,1,3,0,0,2052,5061734,5063785,20.52,rest,3.9111
2808,13,3,0,0,1079,1662657,1663735,10.79,rest,3.9087
8800,1,3,0,0,443,5111053,5111495,4.43,rest,3.9087
8622,1,3,0,0,5292,5019089,5024380,52.92,rest,3.8843
8802,1,3,0,0,1585,5111912,5113496,15.85,rest,3.8794
8784,1,3,0,0,288,5104520,5104807,2.88,rest,3.8501
21634,9,3,0,0,2413,12542888,12545300,24.13,rest,3.8354
1584,11,3,0,0,3666,917987,921652,36.66,rest,3.7842
